,wavenumber (cm^-1),Unblocked Integrated OD
0,17323.467575653656,0.016777
1,17323.467678007797,0.018544
2,17323.468340232594,0.025318
3,17323.468368568865,0.023813
4,17323.468476366776,0.033542
5,17323.468481853903,0.017254
6,17323.468481853903,0.017464
7,17323.468481853903,0.01874
8,17323.468481853903,0.019814
9,17323.468481853903,0.020434
10,17323.468481853903,0.021608
11,17323.468485673213,0.024527
12,17323.468502021187,0.038268
13,17323.46855917406,0.026593
14,17323.468791107847,0.030182
15,17323.468993251023,0.030383
16,17323.469023965605,0.051087
17,17323.469023965605,0.052178
18,17323.46922156564,0.037195
19,17323.46929775168,0.027137
20,17323.46937292702,0.045312
21,17323.46951226008,0.043671
22,17323.469529341895,0.059934
23,17323.46956262492,0.066867
24,17323.46956262492,0.07379
25,17323.469580183733,0.049758
26,17323.469609117084,0.061284
27,17323.469685199718,0.093096
28,17323.469685199718,0.101826
29,17323.46999860987,0.08154
30,17323.46999860987,0.089436
31,17323.46999860987,0.097467
32,17323.46999860987,0.097635
33,17323.46999860987,0.103411
34,17323.47002951125,0.081948
35,17323.470112198454,0.123326
36,17323.47055715294,0.123672
37,17323.470579531757,0.111502
38,17323.47065451363,0.103356
39,17323.47065451363,0.112068
40,17323.470756837753,0.118153
41,17323.470869475677,0.112187
42,17323.470908932974,0.113325
43,17323.470939790986,0.115954
44,17323.470939790986,0.125703
45,17323.47122092881,0.114174
46,17323.471252770843,0.11398
47,17323.471252770843,0.118323
48,17323.471284225936,0.105982
49,17323.471284225936,0.115768
50,17323.47133208571,0.12008
51,17323.47145780602,0.138504
52,17323.47150768386,0.113349
53,17323.471613563775,0.124075
54,17323.471649605373,0.129213
55,17323.471673265078,0.115105
56,17323.471673265078,0.115933
57,17323.47197491376,0.117621
58,17323.47197491376,0.118294
59,17323.47198310943,0.112208
60,17323.47198310943,0.124633
61,17323.472023594102,0.100305
62,17323.472023594102,0.134269
63,17323.47210456345,0.118025
64,17323.47216878788,0.109463
65,17323.47216878788,0.11121
66,17323.472173414415,0.10782
67,17323.472209902993,0.116662
68,17323.472281335744,0.107708
69,17323.47245408525,0.116956
70,17323.472622164863,0.077095
71,17323.472675478413,0.104328
72,17323.472778269526,0.099624
73,17323.472778269526,0.106254
74,17323.472836539837,0.089307
75,17323.47285973922,0.069157
76,17323.472870239817,0.1081
77,17323.47292535795,0.086977
78,17323.472997858105,0.099304
79,17323.473065007893,0.075841
80,17323.473300941114,0.064799
81,17323.47341809216,0.050911
82,17323.473422038223,0.067563
83,17323.473526910773,0.102645
84,17323.47360938783,0.057963
85,17323.473623701066,0.054444
86,17323.473672348056,0.037958
87,17323.473863500294,0.059098
88,17323.474061577326,0.058925
89,17323.474114193727,0.03769
90,17323.474114193727,0.039619
91,17323.47421665461,0.039376
92,17323.474266102152,0.039989
93,17323.474362335393,0.047045
94,17323.474397709866,0.044451
95,17323.474432297127,0.044995
96,17323.47470633004,0.038787
97,17323.47470633004,0.041261
98,17323.474845809862,0.04728
99,17323.475022358667,0.04791
100,17323.475073300575,0.034817
